bigram,frequency
parkir tmpat,1
tmpat karoke,1
karoke club,1
club malem,1
malem bar,1
bar trus,1
trus salam,1
foto lho,1
lho beneer,1
beneer banget,1
laku cipta,1
cipta lapang,1
sulit pdhl,1
pdhl dampak,1
dampak kurang,1
kurang miskin,1
miskin negara,1
negara sangt,1
sangt pengaruh,1
pengaruh sulit,1
sulit gmna,1
gmna ormas,1
ormas bisa,1
bisa ikut,1
ikut jatah,1
jatah yang,1
yang anggap,1
anggap lindung,1
lindung rakyat,1
rakyat saja,1
saja malak,1
malak harusny,1
harusny kantor,1
kantor pecat,1
pecat saja,1
saja smuanya,1
smuanya miskin,1
miskin kalau,1
kalau hukum,1
mati kantor,1
kantor biar,1
biar efek,1
efek jera,1
jera tidak,1
tidak brni,1
brni lagi,1
lagi main,1
main dengan,1
dengan hukum,1
hukum jamin,1
jamin negara,1
negara ini,1
ini maju,1
maju kayk,1
kayk china,1
banget ngalamin,1
ngalamin lari,1
pagi mobil,1
mobil polisi,1
polisi mberhentiin,1
mberhentiin saya,1
saya salah,1
salah tau,1
tau suruh,1
motoin doang,1
bener patroli,1
patroli rutin,1
rutin cegah,1
cegah jahat,1
jahat lha,1
lha cegah,1
cegah kagak,1
kagak kalau,1
kalau warga,1
warga nangkep,1
maling dibebasin,1
yang level,1
level dewa,1
dewa bandar,1
yang mata,1
polisi poto,1
poto doang,1
doang perut,1
perut buncit,1
oalah haha,1
faktaa alm,1
alm kakak,1
kakak bayi,1
bayi rumah,1
rumah persis,1
persis warung,1
warung soto,1
soto pake,1
pake live,1
live musik,1
musik ganggu,1
ganggu banget,1
banget volume,1
volume keras,1
keras pol,1
pol nyanyi,1
nyanyi mabok,1
mabok sudah,1
sudah tegur,1
tegur tidak,1
ngaruh lapor,1
lapor rtnya,1
rtnya kakak,1
kakak warung,1
warung lapor,1
lapor babinsa,1
babinsa suruh,1
suruh kantor,1
kantor polsek,1
polsek sampe,1
sampe polsek,1
polsek polisi,1
bilang terang,1
terang duit,1
duit mas,1
mas ngurusin,1
ngurusin urus,1
urus begitu,1
begitu anjeng,1
banget polri,1
polri raport,1
raport nya,1
nya metah,1
metah bingit,1
iya cermin,1
cermin mayoritas,1
indonesia wkwkwkkw,1
pelan bang,1
posisi gonjang,1
gonjang ganjing,1
oknum indonesia,1
indonesia hahahaha,1
kam masyarakat,1
masyarakat kerja,1
saja cuman,1
cuman jam,1
jam jam,1
lapang pagi,1
pagi doank,1
doank itu,1
tidak jam,1
