username,comment,time
@agus-sv2u,"bismillah,.assalamualaikum. saya jual rumah dgn harga tanah kosong saja.. luas tanah 700m dan luas bangunan 500mpersegi  sangat cocok untuk segala macam tempat usaha.dan rumah pribadi,lokasi di jln kedung baruk no 140.sby timur..persis di depan indomart rumah ini.nol jln raya saya jual cuman dengan harga tanah kosong saja.surat shm ready..ada 14 kamar kos..penuh penghuninya.",1 hari yang lalu
@arievzone787,"slow bang , fokus perut seragam coklat",1 hari yang lalu
@septianandriansaputra9115,fakta bgt,1 hari yang lalu
@gunawanw5063,warga disuruh ronda,1 hari yang lalu
@anggapuji6388,real madrid,1 hari yang lalu
@rezapatricia8706,"sama dengan saya kk, ortu saya melapor kehilangan gas udah 2x, saat itu kejadiannya malingnya udah ketangkep kak, jadi ortu saya mau buat laporan, dan disuruh bayar 2/4 jt perlaporan, gila gak tuh, gak sampai setahun udah dilepas tuh maling",1 hari yang lalu (diedit)
@robin2212,"pernah kehilangan motor fu punya sepupu lapor polisi tak di gubris, kebetulan saya kenal mereka mereka yg pernah maling motor, dari mereka lah saya di beri informasi, akhirnya saya melacak sendiri alhamdulilah ketemu berkat petunjuk mereka, kalau hilang nya di daerah sini berarti yg ambil kelompok ini, kalau hilang nya du daerah lain biasanya kelompok ini yg ambil",1 hari yang lalu
@sungainusantara6216,fakta .saya pernh ngalamin jg kebusukan dari ladusing😂😂,1 hari yang lalu
@akunpabji6328,terang benderang,1 hari yang lalu
@vickfrozenmart,yang taat cuma patung polisi sama polisi tidur aja kayaknya,1 hari yang lalu
@rumahdjenggo-x9f,fakta,1 hari yang lalu
@femalelalala,wkwkwk benerrrr😂,1 hari yang lalu
@xsewunskyaghrwfwvshisjsgshskr,"so pasti, siapa lagi kalau bukannya coklat si paling beradab dan sok beretika.",1 hari yang lalu
@samuderadebu6239,turis asing aja lapor damkar kehilangan hp😢,1 hari yang lalu
@babahbettafarm1878,"betul , udh terlalu bobrok institusi itu , tp heran nya ngga malu , kapolrinya aja ngga mau mundur😂😂",1 hari yang lalu
@putraarby,baru tau kalau jadi polisi tu aib?,1 hari yang lalu
@jailanialfaruq,"nah, betul ini. dokumennya nanti dikasih ke orang buat dikerjain, lalu dibayar. negara macam apa ini😂",1 hari yang lalu
@asroel28,wow😂😂😂😂,1 hari yang lalu
@rayanza.6618,benar sekali bang yg ada jelaskan itu real yg terjadi di negri ini.yg susah tmbh susah klo kena mslh hkum.,1 hari yang lalu
@rayanza.6618,fakta real yg terjdi di negri ini,1 hari yang lalu
@ibnuraffi2189,acab,1 hari yang lalu
