no,nama_tempat,nama_reviewer,rating,tanggal,ulasan,jumlah_ulasan_reviewer,foto
422,N/A,Ardhanareswari Malinda,5,5 bulan lalu,Enak banget tempatnya nyaman lucu matchanya juga banyak varian,N/A,Tidak
423,N/A,Claraningtyas,5,5 bulan lalu,N/A,N/A,Tidak
424,N/A,Alda Agraini 1372,5,5 bulan lalu,"tempatnya enak buat nongkrong bareng temen, musiknya juga asik",N/A,Tidak
425,N/A,Juliyanti Nur Kasanah,5,5 bulan lalu,"banyakk spot foto, tempatnya nyaman, musiknya asik asik❤️‍🔥",N/A,Tidak
426,N/A,Princes Rahmadania,5,5 bulan lalu,"tempatnya nyaman, musiknya asik, banyak spot fotonyaaa🥰😇",N/A,Tidak
427,N/A,Shandy Diva,5,5 bulan lalu,"tempatnya nyaman, asik, musiknya seru seru, banyakk spott fotonyaa🤩🤩",N/A,Tidak
428,N/A,deka sari,5,5 bulan lalu,"tempat nya nyaman, staff nya ramah, cocok buat nongki",N/A,Tidak
429,N/A,via chanel,2,5 bulan lalu,N/A,N/A,Tidak
430,N/A,Anggita Sukma Azzahro,2,5 bulan lalu,"untuk coffe shopnya udah bagus, cuma tukang parkirnya payahhh. plat saya lepas dan rusak alasannya kena keluar masuk mobil, posisi saya datang itu parkiran motor ramai jadi ya saya dapet parkir belakang. terus fungsi tukang parkir apa kalo parkirannya ga di tata!!! kecewanya sama tukang parkirnya",N/A,Tidak
431,N/A,Nurul aisyah Mahmud,5,5 bulan lalu,N/A,N/A,Tidak
432,N/A,Zilvi ImroMah,5,5 bulan lalu,N/A,N/A,Tidak
433,N/A,Ghesa Dwikinanti,3,5 bulan lalu,N/A,N/A,Tidak
434,N/A,Anggi Andira Putri,5,5 bulan lalu,Anestetik,N/A,Tidak
435,N/A,Rendri Okcha kirana,5,5 bulan lalu,Estetis,N/A,Tidak
436,N/A,nurrachmi,5,5 bulan lalu,N/A,N/A,Tidak
437,N/A,C - MEILANI PERTIWI PUTRI - 163,5,5 bulan lalu,"matcha cloud pink enak bangeddd plsss‼️ rekomendd pencintaa matchaa wajib kesiniii ajakin temen temen kalian nongs disiniii, asikk tempatnyaa🫰🏻😎👀",N/A,Tidak
438,N/A,indah djuwita sari,5,5 bulan lalu,tempatnya bagus banget!!! 💓 …,N/A,Tidak
439,N/A,Arumram,5,5 bulan lalu,Matchanya enak harus cobain ⭐️⭐️⭐️⭐️,N/A,Tidak
440,N/A,destia hoyi,5,5 bulan lalu,enak banget matcha nyaa🥹🫶🏻,N/A,Tidak
441,N/A,rachel allia,5,5 bulan lalu,N/A,N/A,Tidak
442,N/A,Affifah Rafsanjani,4,5 bulan lalu,"Nyobain pink cloud, ternyata pahit banget (pahit matcha), mungkin memang aslinya begini ya, terbiasa beli varian matcha di other coffe shop, biasanya manis",N/A,Tidak
443,N/A,Tiari Thari,5,5 bulan lalu,"macharistanya lucu ramah2, machanya enak kelapanya fresh",N/A,Tidak
444,N/A,Vania Nirmala,5,5 bulan lalu,N/A,N/A,Tidak
445,N/A,mifela rasendry,5,5 bulan lalu,N/A,N/A,Tidak
446,N/A,Husni Muarif,5,5 bulan lalu,Tempatnya enak buat nongkrong. Sambil ditemani matcha yang sedap dan pastry yang enak.,N/A,Tidak
447,N/A,Hanani Kusumasari,5,5 bulan lalu,"Matcha-nya enak, suasana nyaman 👍 …",N/A,Tidak
