no,nama_tempat,nama_reviewer,rating,tanggal,ulasan,jumlah_ulasan_reviewer,foto
270,N/A,Ilda Indrii,5,2 bulan lalu,N/A,N/A,Tidak
271,N/A,Lukman Rizal,5,2 bulan lalu,Oke sip,N/A,Tidak
272,N/A,selma fauziya,5,2 bulan lalu,Best matcha latte in town nih kalian klo ke jogja bisa coba di machia palagan,N/A,Tidak
273,N/A,Monica Rizkisafitri,5,2 bulan lalu,N/A,N/A,Tidak
274,N/A,Chevin Ariyus,5,2 bulan lalu,N/A,N/A,Tidak
275,N/A,almaaa,5,Diedit 2 bulan lalu,Menurutku ini adalah tempat terbaik setelah cabang kyou,N/A,Tidak
276,N/A,friagung aditya kusuma,5,2 bulan lalu,Tempat yang cocok untuk nongkrong bareng teman. Wajib banget ke sini kalau kamu pecinta matcha.,N/A,Tidak
277,N/A,Stephany Dasmariah Saragih,5,2 bulan lalu,lucu gemesss,N/A,Tidak
278,N/A,Syahya Khazza Annisa XII MIPA 1,5,2 bulan lalu,"1000/10! Tempatnya cozyy untuk ngobrol dan belajar, minumannya enak-enak semuaaa! Bagus untuk foto-foto jugaa.",N/A,Tidak
279,N/A,Maulida Zafira,5,2 bulan lalu,N/A,N/A,Tidak
280,N/A,Thoriq Farisi,5,2 bulan lalu,N/A,N/A,Tidak
281,N/A,Aisya C. Daniswara,5,2 bulan lalu,"tempatnya luas banget dan banyak pilihan mau duduk di mana, beli matcha premiumnya dan ok umaminya dapet!!",N/A,Tidak
282,N/A,Gianina Fatiha,4,2 bulan lalu,N/A,N/A,Tidak
283,N/A,fadhilla yulfa,5,2 bulan lalu,N/A,N/A,Tidak
284,N/A,Fifaff,5,2 bulan lalu,"Sangatt nyamann, pelayanan juga cepatt dan ramah ramah sekalii
Makanan enakk , sangat rekomended untuk para pecinta matchaaaa 🔥",N/A,Tidak
