no,nama_tempat,nama_reviewer,rating,tanggal,ulasan,jumlah_ulasan_reviewer,foto
160,N/A,Rizky Pratama,5,seminggu lalu,suasana yang nyaman,N/A,Tidak
161,N/A,Brent Greer,5,seminggu lalu,N/A,N/A,Tidak
162,N/A,Muhammad Ilham,5,seminggu lalu,N/A,N/A,Tidak
163,N/A,arum aca,5,seminggu lalu,kerennn,N/A,Tidak
164,N/A,Farah Zahra,5,seminggu lalu,Bagus banget,N/A,Tidak
165,N/A,yarr,5,seminggu lalu,N/A,N/A,Tidak
166,N/A,Putri Zulfa,5,seminggu lalu,N/A,N/A,Tidak
167,N/A,salfa auliya,5,seminggu lalu,tempatnya cozy bangett,N/A,Tidak
168,N/A,Chintya Salwa Octaviani,5,seminggu lalu,N/A,N/A,Tidak
169,N/A,Alika Shalaisya,5,seminggu lalu,"pelayanan nya bagus humble semua, tempatnya lucu",N/A,Tidak
170,N/A,Sopya Nurul,5,seminggu lalu,N/A,N/A,Tidak
171,N/A,kirana zhafira,5,seminggu lalu,"mantap tempatnya baguss bangettt buat foto2, pelayananya juga topppp",N/A,Tidak
172,N/A,Safitri Damayanti,5,seminggu lalu,Kereen,N/A,Tidak
173,N/A,nauranseptia,5,seminggu lalu,Pelayanan ramah bangeeeetttttt rekomend coffe shop paling nyaman d jogjaaaa pengennn dateng lgggg,N/A,Tidak
174,N/A,Andika Dwi,5,seminggu lalu,"tempat nya bersih, nyaman dan estetik abissss🤩🤩",N/A,Tidak
175,N/A,Azzahra Nurul Fadhila,5,seminggu lalu,"tempat sejuk tidak panas, spot foto banyak polllll",N/A,Tidak
176,N/A,alifia mayangsari,5,seminggu lalu,N/A,N/A,Tidak
177,N/A,21_Muhammad Aldhi,5,seminggu lalu,N/A,N/A,Tidak
178,N/A,Tiara Natalia,5,seminggu lalu,Tempatnya lucu.,N/A,Tidak
179,N/A,Alya Mareta,5,seminggu lalu,N/A,N/A,Tidak
180,N/A,Natasha Alyria Wahani Putri,5,seminggu lalu,"tempatnya bagus banget, makanan minumannya oke, vibesnya seru banget, rekomen buat nongs sama temen",N/A,Tidak
181,N/A,Raihan Aqil Ridwan,5,seminggu lalu,"pelayanan bagus, tempat aman, tempat bagus, tempat nyaman :)",N/A,Tidak
182,N/A,Davina Fayla,5,seminggu lalu,"Tempat nya seru banget, makanan minuman enakk",N/A,Tidak
183,N/A,Rohima hidayati,5,seminggu lalu,"Cocok banget buat nongki nongki cantik, tempatnya bagus pol, makanannnya juga enakk",N/A,Tidak
184,N/A,Dini Ristanti,5,seminggu lalu,"Nyaman, di setiap sudutnya banyak soft fotonya",N/A,Tidak
185,N/A,Jovita Cahya,5,seminggu lalu,"nyaman, di setiap sudutnya banyak spot foto",N/A,Tidak
186,N/A,Deeadeee lestari (Deeadeee),5,seminggu lalu,N/A,N/A,Tidak
187,N/A,M Iswahyudi,5,2 minggu lalu,"Merupakan tempat nongkrong yang sangat menguntungkan secara lokasi karena posisinya yang hanya selangkah dari pusat keramaian Malioboro, namun menawarkan suasana yang tenang dan homey untuk beristirahat. Manfaat utamanya adalah sebagai cafe 24 jam dengan suasana yang estetik, instagrammable (terutama dengan photobox hits mereka), dan memiliki area duduk (indoor/outdoor) yang luas dan nyaman untuk semua kalangan mulai dari yang ingin hangout santai, work from cafe (WFC), hingga komunitas yang ingin berkumpul. Pelayanan yang ramah, pilihan kopi dan non-coffee yang beragam, serta seringnya diadakan live music menambah nilai plus yang membuat pengunjung betah berlama-lama, menjadikannya social space yang ideal di jantung kota Yogyakarta",N/A,Tidak
188,N/A,FASIPIKUS ALDI SANJAYA,5,2 minggu lalu,Keren,N/A,Tidak
189,N/A,Oktavianus Prima Saputra,5,2 minggu lalu,Abg Aidil ramah,N/A,Tidak
190,N/A,Ade Novindo S Sijabat,5,2 minggu lalu,N/A,N/A,Tidak
191,N/A,clara salsabila,5,2 minggu lalu,"makanan sam tempatnyaa so far so good, A6 guyss🤭",N/A,Tidak
