no,nama_tempat,nama_reviewer,rating,tanggal,ulasan,jumlah_ulasan_reviewer,foto
401,N/A,Zuhra Ramadhani,5,2 minggu lalu,N/A,N/A,Tidak
402,N/A,Tsuraya afrah,5,2 minggu lalu,N/A,N/A,Tidak
403,N/A,Elora Naila,5,2 minggu lalu,N/A,N/A,Tidak
404,N/A,26 Naura,5,2 minggu lalu,N/A,N/A,Tidak
405,N/A,Keila Keila,5,2 minggu lalu,N/A,N/A,Tidak
406,N/A,ceboicu,5,Diedit 2 minggu lalu,N/A,N/A,Tidak
407,N/A,Anggita maharani,5,2 minggu lalu,N/A,N/A,Tidak
408,N/A,talita shifa,5,2 minggu lalu,N/A,N/A,Tidak
409,N/A,Sarbinah Garden,5,2 minggu lalu,Kopi nya enak . Pelayanan nya juga ramah,N/A,Tidak
410,N/A,Ibnu Nafiq,5,2 minggu lalu,N/A,N/A,Tidak
411,N/A,Rejeki Fitri,5,2 minggu lalu,N/A,N/A,Tidak
