username,comment,time,tokens,cleaned_tokens,filtered_tokens
@youtubecaraku7171,bug bounty,1 hari yang lalu,"['bug', 'bounty']","['bug', 'bounty']","['bug', 'bounty']"
@reginapanjaitan4590,"⁠ @miegoreng8902   kurang ngerti juga, mustinya harus anak it. klo ga tar ngangngong ngangong ga sih",1 hari yang lalu,"['\u2060', '@', 'miegoreng8902', 'kurang', 'ngerti', 'juga', ',', 'mustinya', 'harus', 'anak', 'it', '.', 'klo', 'ga', 'tar', 'ngangngong', 'ngangong', 'ga', 'sih']","['miegoreng8902', 'kurang', 'ngerti', 'juga', 'mustinya', 'harus', 'anak', 'it', 'klo', 'ga', 'tar', 'ngangngong', 'ngangong', 'ga', 'sih']","['miegoreng8902', 'ngerti', 'mustinya', 'anak', 'it', 'klo', 'ga', 'tar', 'ngangngong', 'ngangong', 'ga', 'sih']"
@reginapanjaitan4590,"⁠​⁠ @dianayuli7823  aku kurang tau mba klo ini sptnya on site , kayaknya ya atau online blm cerita banyak, dia baru ngomong karena maknya kebanyakan ngomel soal kuliah 😅",1 hari yang lalu,"['\u2060\u200b\u2060', '@', 'dianayuli7823', 'aku', 'kurang', 'tau', 'mba', 'klo', 'ini', 'sptnya', 'on', 'site', ',', 'kayaknya', 'ya', 'atau', 'online', 'blm', 'cerita', 'banyak', ',', 'dia', 'baru', 'ngomong', 'karena', 'maknya', 'kebanyakan', 'ngomel', 'soal', 'kuliah', '😅']","['dianayuli7823', 'aku', 'kurang', 'tau', 'mba', 'klo', 'ini', 'sptnya', 'on', 'site', 'kayaknya', 'ya', 'atau', 'online', 'blm', 'cerita', 'banyak', 'dia', 'baru', 'ngomong', 'karena', 'maknya', 'kebanyakan', 'ngomel', 'soal', 'kuliah']","['dianayuli7823', 'tau', 'mba', 'klo', 'sptnya', 'on', 'site', 'kayaknya', 'online', 'blm', 'cerita', 'ngomong', 'maknya', 'kebanyakan', 'ngomel', 'kuliah']"
@reginapanjaitan4590,⁠​⁠​⁠ @felniode  nampaknya demikian. tp ini kayaknya mereka di outsource per project. lumayan banget banget klo buat mahasiswa yg masih kuliah ngerjain ginian,1 hari yang lalu,"['\u2060\u200b\u2060\u200b\u2060', '@', 'felniode', 'nampaknya', 'demikian', '.', 'tp', 'ini', 'kayaknya', 'mereka', 'di', 'outsource', 'per', 'project', '.', 'lumayan', 'banget', 'banget', 'klo', 'buat', 'mahasiswa', 'yg', 'masih', 'kuliah', 'ngerjain', 'ginian']","['felniode', 'nampaknya', 'demikian', 'tp', 'ini', 'kayaknya', 'mereka', 'di', 'outsource', 'per', 'project', 'lumayan', 'banget', 'banget', 'klo', 'buat', 'mahasiswa', 'yg', 'masih', 'kuliah', 'ngerjain', 'ginian']","['felniode', 'nampaknya', 'tp', 'kayaknya', 'outsource', 'project', 'lumayan', 'banget', 'banget', 'klo', 'mahasiswa', 'yg', 'kuliah', 'ngerjain', 'ginian']"
@thekatzenberg,relevan 👍🏼,1 hari yang lalu,"['relevan', '👍🏼']",['relevan'],['relevan']
@kanjoed,kalo vina garut gimana banj?,2 hari yang lalu,"['kalo', 'vina', 'garut', 'gimana', 'banj', '?']","['kalo', 'vina', 'garut', 'gimana', 'banj']","['kalo', 'vina', 'garut', 'gimana', 'banj']"
@radiangege368, @kanjoed  udah ga zamannya lagi wkwk,2 hari yang lalu,"['@', 'kanjoed', 'udah', 'ga', 'zamannya', 'lagi', 'wkwk']","['kanjoed', 'udah', 'ga', 'zamannya', 'lagi', 'wkwk']","['kanjoed', 'udah', 'ga', 'zamannya', 'wkwk']"
@bossmantelo,​ @kanjoed wkakaka...wina garet dah keriput lower 😂😂😂,1 hari yang lalu,"['\u200b', '@', 'kanjoed', 'wkakaka', '...', 'wina', 'garet', 'dah', 'keriput', 'lower', '😂😂😂']","['kanjoed', 'wkakaka', 'wina', 'garet', 'dah', 'keriput', 'lower']","['kanjoed', 'wkakaka', 'wina', 'garet', 'dah', 'keriput', 'lower']"
@annisamarlyna,​ @kanjoed  astagaaaaa ...,1 hari yang lalu,"['\u200b', '@', 'kanjoed', 'astagaaaaa', '...']","['kanjoed', 'astagaaaaa']","['kanjoed', 'astagaaaaa']"
@thekatzenberg,¿ bjorka hanya jd alasan buat genosida ?,1 hari yang lalu,"['¿', 'bjorka', 'hanya', 'jd', 'alasan', 'buat', 'genosida', '?']","['bjorka', 'hanya', 'jd', 'alasan', 'buat', 'genosida']","['bjorka', 'jd', 'alasan', 'genosida']"
